date,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,perc_diff_price_ma7,perc_diff_price_ma21,perc_diff_price_upper_band,perc_diff_price_lower_band
2012-10-26,17.7573,17.914185714285715,18.08723333333333,18.01919168410039,17.95930557203205,-0.059886112068340935,0.2110296134738069,18.509292560280944,17.665174106385717,17.761343162476773,16.7573,2.8188339842242556,-0.8834998242171618,-1.8580152012599291,-4.234836153474587,0.5188057509547293
2012-10-31,17.762,17.833442857142856,18.06735714285714,18.000140448241105,17.928950868642506,-0.07118957959859884,0.22278879330163587,18.51293472946041,17.62177955625387,17.761781054158927,16.762,2.8191144196767146,-0.4022230443804503,-1.7191596827898896,-4.2277599902061205,0.7894406246263412
2012-11-01,17.9574,17.824,18.060666666666666,17.996974489112134,17.93332765808212,-0.06364683103001312,0.22319728793569962,18.507061242538065,17.614272090795268,17.892193684719643,16.9574,2.830704316725029,0.74286923496719,-0.5750646901370265,-3.0609177416444737,1.9107883613704206
2012-11-02,17.7886,17.7892,18.04362380952381,17.981539341770496,17.911061864531025,-0.0704774772394714,0.2293753675454021,18.502374544614614,17.58487307443301,17.82313122823988,16.7886,2.8207000846468455,-0.0033729467186971117,-1.4336362025331555,-4.012539180231247,1.145266775164936
2012-11-05,17.8295,17.79747142857143,18.027704761904765,17.970277168306016,17.898513885372406,-0.07176328293360967,0.22901062397732302,18.485726009859412,17.569683513950118,17.82737707607996,16.8295,2.8231332989081594,0.17963807974743462,-1.1116675280000312,-3.680563166995222,1.4572281109951595
2012-11-06,17.9701,17.8336,18.01516666666667,17.97026404472779,17.909527133776653,-0.06073691095113887,0.2140603970347928,18.443287460736254,17.587045872597084,17.922525692026653,16.9701,2.831452971980688,0.7595951052025202,-0.25078695536847645,-2.6331932528825974,2.1316193421456444
2012-11-07,17.5595,17.803485714285713,17.976842857142856,17.939837078451657,17.85567680550332,-0.08416027294833484,0.21713304986079526,18.411108956864446,17.542576757421266,17.680508564008885,16.5595,2.8069599552645736,-1.3894798501421657,-2.3767354260819267,-4.84984741515673,0.09637656299287697
2012-11-08,17.3457,17.744685714285716,17.928333333333335,17.895826924492276,17.777218835425888,-0.11860808906638809,0.2527124798529531,18.43375829303924,17.42290837362743,17.45730285466963,16.3457,2.793964865811606,-2.300199555427078,-3.3589496724452386,-6.272783992800747,-0.44511535208972985
2012-11-09,17.3756,17.689485714285713,17.892857142857142,17.857291596752106,17.715431322283443,-0.14186027446866234,0.2790968691950553,18.45105088124725,17.334663404467033,17.402834284889877,16.3756,2.7957924220714165,-1.8064741032580982,-2.9769167272332684,-6.189431623928112,0.23559816946157527
2012-11-13,17.3142,17.5976,17.859738095238097,17.817062589585284,17.65370342654753,-0.16335916303775377,0.30493842156591777,18.469614938369933,17.24986125210626,17.34374476162996,16.3142,2.792035894212339,-1.6368067828718642,-3.150813177843025,-6.673221623695771,0.3715952680097213
2012-11-14,17.0807,17.49647142857143,17.815185714285715,17.762517212578967,17.565549053232523,-0.19696815934644363,0.3487062275488122,18.512598169383338,17.11777325918809,17.16838158720999,16.0807,2.777619795141624,-2.434159188858937,-4.3000914147881195,-8.383135172348545,-0.217047657227695
2012-11-15,17.0548,17.3858,17.77194761904762,17.710093715350897,17.486972275812136,-0.22312143953876173,0.3791744514485702,18.53029652194476,17.01359871615048,17.09266052907,16.0548,2.776007870285437,-1.94080258930037,-4.204960592018781,-8.651502931402064,0.24158174736450044
2012-11-16,17.1389,17.267057142857144,17.725795238095237,17.66778306976935,17.433422694917958,-0.23436037485139138,0.3807527294020536,18.487300696899347,16.96428977929113,17.123486843023333,16.1389,2.7812325068637227,-0.7477559403295698,-3.424346008759243,-7.867486810118193,1.0187947925997065
2012-11-19,17.48,17.2557,17.687038095238098,17.653873212749396,17.44058843416135,-0.21328477858804717,0.34849871142970645,18.384035518097512,16.990040672378683,17.36116228100778,16.48,2.8021475244813256,1.2831807780320337,-1.1844284624605106,-5.171827906736338,2.8029709818153172
